,u,i,ts,label,idx
0,1,1351,1082040961.0,0,1
1,2,1352,1082155839.0,0,2
2,3,1351,1082414391.0,0,3
3,4,1353,1082439619.0,0,4
4,5,1353,1082439756.0,0,5
5,6,873,1082440403.0,0,6
6,6,1354,1082440453.0,0,7
7,7,1355,1082441188.0,0,8
8,6,1356,1082441754.0,0,9
9,6,1357,1082441824.0,0,10
10,6,1358,1082441895.0,0,11
11,6,1359,1082442153.0,0,12
12,6,1356,1082442328.0,0,13
13,6,1360,1082442560.0,0,14
14,8,1360,1082443023.0,0,15
15,9,1361,1082444944.0,0,16
16,8,1362,1082450074.0,0,17
17,5,1363,1082450243.0,0,18
18,6,1364,1082450645.0,0,19
19,6,1362,1082450656.0,0,20
20,10,1361,1082467089.0,0,21
21,11,1353,1082481125.0,0,22
22,12,1365,1082490240.0,0,23
23,13,10,1082504083.0,0,24
24,14,1366,1082517506.0,0,25
25,14,1366,1082517511.0,0,26
26,14,1366,1082517513.0,0,27
27,14,1366,1082517516.0,0,28
28,15,1367,1082518023.0,0,29
29,16,1368,1082525530.0,0,30
30,16,1367,1082525718.0,0,31
31,17,1369,1082530949.0,0,32
32,18,1370,1082538849.0,0,33
33,17,1371,1082539557.0,0,34
34,19,1357,1082540305.0,0,35
35,19,1354,1082540354.0,0,36
36,19,1356,1082540462.0,0,37
37,19,1355,1082540496.0,0,38
38,19,1370,1082541442.0,0,39
39,19,638,1082574211.0,0,40
40,19,1057,1082576344.0,0,41
41,6,1371,1082583700.0,0,42
42,20,1372,1082585468.0,0,43
43,21,1362,1082587705.0,0,44
44,20,21,1082588222.0,0,45
45,22,21,1082588508.0,0,46
46,23,21,1082589483.0,0,47
47,6,1373,1082596555.0,0,48
48,17,176,1082597715.0,0,49
49,20,26,1082597751.0,0,50
50,15,119,1082598056.0,0,51
51,17,15,1082598122.0,0,52
52,24,468,1082598395.0,0,53
53,17,1374,1082598545.0,0,54
54,25,257,1082598548.0,0,55
55,17,15,1082598685.0,0,56
56,17,82,1082598765.0,0,57
57,20,1375,1082598920.0,0,58
58,26,82,1082598934.0,0,59
59,20,1356,1082599072.0,0,60
60,17,25,1082599376.0,0,61
61,17,164,1082599717.0,0,62
62,25,204,1082600068.0,0,63
63,27,176,1082600409.0,0,64
64,17,164,1082600787.0,0,65
65,15,1375,1082601455.0,0,66
66,17,164,1082601872.0,0,67
67,17,176,1082601913.0,0,68
68,19,38,1082602619.0,0,69
69,19,1376,1082602668.0,0,70
70,19,1377,1082602682.0,0,71
71,19,25,1082602700.0,0,72
72,19,204,1082602761.0,0,73
73,19,1057,1082602778.0,0,74
74,19,119,1082602807.0,0,75
75,19,82,1082602838.0,0,76
76,19,1375,1082603068.0,0,77
77,6,1376,1082603124.0,0,78
78,6,82,1082603179.0,0,79
79,7,1152,1082603219.0,0,80
80,15,82,1082603266.0,0,81
81,7,1152,1082603268.0,0,82
82,28,15,1082603514.0,0,83
83,19,15,1082603571.0,0,84
84,28,15,1082603649.0,0,85
85,15,29,1082603681.0,0,86
86,29,25,1082603850.0,0,87
87,28,15,1082603868.0,0,88
88,28,15,1082603999.0,0,89
89,29,204,1082604018.0,0,90
90,28,15,1082604079.0,0,91
91,28,5,1082604696.0,0,92
92,30,28,1082605390.0,0,93
93,31,26,1082607167.0,0,94
94,20,176,1082607289.0,0,95
95,28,15,1082608354.0,0,96
96,32,82,1082608405.0,0,97
97,32,33,1082608481.0,0,98
98,26,82,1082608509.0,0,99
